Wormbase_ID,C_gene,H_gene,NIH_ID
WBGene00000001,aap-1,PIK3R1,ENSG00000145675
WBGene00000001,aap-1,PIK3R2,ENSG00000105647
WBGene00000001,aap-1,PIK3R3,ENSG00000117461
WBGene00000002,aat-1,SLC7A8,ENSG00000092068
WBGene00000002,aat-1,SLC7A5,ENSG00000103257
WBGene00000002,aat-1,SLC7A6,ENSG00000103064
WBGene00000002,aat-1,SLC7A7,ENSG00000155465
WBGene00000002,aat-1,SLC7A10,ENSG00000130876
WBGene00000002,aat-1,SLC7A9,ENSG00000021488
WBGene00000003,aat-2,SLC7A7,ENSG00000155465
WBGene00000003,aat-2,SLC7A8,ENSG00000092068
WBGene00000003,aat-2,SLC7A6,ENSG00000103064
WBGene00000003,aat-2,SLC7A5,ENSG00000103257
WBGene00000003,aat-2,SLC7A10,ENSG00000130876
WBGene00000003,aat-2,SLC7A9,ENSG00000021488
WBGene00000004,aat-3,SLC7A8,ENSG00000092068
WBGene00000004,aat-3,SLC7A5,ENSG00000103257
WBGene00000004,aat-3,SLC7A6,ENSG00000103064
WBGene00000004,aat-3,SLC7A7,ENSG00000155465
WBGene00000004,aat-3,SLC7A10,ENSG00000130876
WBGene00000004,aat-3,SLC7A9,ENSG00000021488
WBGene00000018,abl-1,ABL1,ENSG00000097007
WBGene00000018,abl-1,ABL2,ENSG00000143322
WBGene00000020,abt-2,ABCA1,ENSG00000165029
WBGene00000020,abt-2,ABCA7,ENSG00000064687
WBGene00000020,abt-2,ABCA12,ENSG00000144452
WBGene00000020,abt-2,ABCA13,ENSG00000179869
WBGene00000020,abt-2,ABCA4,ENSG00000198691
WBGene00000020,abt-2,ABCA2,ENSG00000107331
WBGene00000020,abt-2,ABCA8,ENSG00000141338
WBGene00000020,abt-2,ABCA9,ENSG00000154258
WBGene00000020,abt-2,ABCA6,ENSG00000154262
WBGene00000020,abt-2,ABCA10,ENSG00000154263
WBGene00000020,abt-2,ABCA5,ENSG00000154265
WBGene00000020,abt-2,ABCA3,ENSG00000167972
WBGene00000022,abt-4,ABCA3,ENSG00000167972
WBGene00000022,abt-4,ABCA8,ENSG00000141338
WBGene00000022,abt-4,ABCA9,ENSG00000154258
WBGene00000022,abt-4,ABCA6,ENSG00000154262
WBGene00000022,abt-4,ABCA10,ENSG00000154263
WBGene00000022,abt-4,ABCA5,ENSG00000154265
WBGene00000022,abt-4,ABCA7,ENSG00000064687
WBGene00000022,abt-4,ABCA2,ENSG00000107331
WBGene00000022,abt-4,ABCA12,ENSG00000144452
WBGene00000022,abt-4,ABCA1,ENSG00000165029
WBGene00000022,abt-4,ABCA13,ENSG00000179869
WBGene00000022,abt-4,ABCA4,ENSG00000198691
WBGene00000023,abt-5,ABCA10,ENSG00000154263
WBGene00000023,abt-5,ABCA8,ENSG00000141338
WBGene00000023,abt-5,ABCA9,ENSG00000154258
WBGene00000023,abt-5,ABCA6,ENSG00000154262
WBGene00000023,abt-5,ABCA5,ENSG00000154265
WBGene00000023,abt-5,ABCA7,ENSG00000064687
WBGene00000023,abt-5,ABCA2,ENSG00000107331
WBGene00000023,abt-5,ABCA12,ENSG00000144452
WBGene00000023,abt-5,ABCA1,ENSG00000165029
WBGene00000023,abt-5,ABCA13,ENSG00000179869
WBGene00000023,abt-5,ABCA4,ENSG00000198691
WBGene00000023,abt-5,ABCA3,ENSG00000167972
WBGene00000035,ace-1,ACHE,ENSG00000087085
WBGene00000035,ace-1,BCHE,ENSG00000114200
WBGene00000036,ace-2,BCHE,ENSG00000114200
WBGene00000036,ace-2,ACHE,ENSG00000087085
WBGene00000039,acn-1,ACE2,ENSG00000130234
WBGene00000039,acn-1,ACE,ENSG00000159640
WBGene00000039,acn-1,TMEM27,ENSG00000147003
WBGene00000040,aco-1,ACO1,ENSG00000122729
WBGene00000040,aco-1,IREB2,ENSG00000136381
WBGene00000040,aco-1,ACO2,ENSG00000100412
WBGene00000041,aco-2,ACO2,ENSG00000100412
WBGene00000041,aco-2,ACO1,ENSG00000122729
WBGene00000041,aco-2,IREB2,ENSG00000136381
WBGene00000046,acr-7,CHRNA7,ENSG00000175344
WBGene00000046,acr-7,CHRFAM7A,ENSG00000166664
WBGene00000048,acr-9,CHRNA7,ENSG00000175344
WBGene00000048,acr-9,CHRFAM7A,ENSG00000166664
WBGene00000049,acr-10,CHRNA7,ENSG00000175344
WBGene00000049,acr-10,CHRFAM7A,ENSG00000166664
WBGene00000050,acr-11,CHRNA7,ENSG00000175344
WBGene00000050,acr-11,CHRFAM7A,ENSG00000166664
WBGene00000053,acr-14,CHRNA7,ENSG00000175344
WBGene00000053,acr-14,CHRFAM7A,ENSG00000166664
WBGene00000055,acr-16,CHRNA7,ENSG00000175344
WBGene00000055,acr-16,CHRFAM7A,ENSG00000166664
WBGene00000058,acr-19,CHRFAM7A,ENSG00000166664
WBGene00000058,acr-19,CHRNA7,ENSG00000175344
WBGene00000060,acr-21,CHRNA9,ENSG00000174343
WBGene00000060,acr-21,CHRNA10,ENSG00000129749
WBGene00000063,act-1,ACTG1,ENSG00000184009
WBGene00000063,act-1,ACTB,ENSG00000075624
WBGene00000063,act-1,ACTBL2,ENSG00000169067
WBGene00000063,act-1,ACTA2,ENSG00000107796
WBGene00000063,act-1,ACTA1,ENSG00000143632
WBGene00000063,act-1,ACTC1,ENSG00000159251
WBGene00000063,act-1,ACTG2,ENSG00000163017
WBGene00000063,act-1,POTEI,ENSG00000196834
WBGene00000063,act-1,POTED,ENSG00000166351
WBGene00000063,act-1,POTEC,ENSG00000183206
WBGene00000063,act-1,POTEH,ENSG00000198062
WBGene00000063,act-1,POTEM,ENSG00000222036
WBGene00000063,act-1,POTEE,ENSG00000188219
WBGene00000063,act-1,POTEA,ENSG00000188877
WBGene00000063,act-1,POTEF,ENSG00000196604
WBGene00000063,act-1,POTEJ,ENSG00000222038
WBGene00000063,act-1,POTEB2,ENSG00000230031
WBGene00000063,act-1,POTEB,ENSG00000233917
WBGene00000063,act-1,ACTRT1,ENSG00000123165
WBGene00000063,act-1,ACTL7B,ENSG00000148156
WBGene00000063,act-1,ACTRT2,ENSG00000169717
WBGene00000063,act-1,ACTL9,ENSG00000181786
WBGene00000063,act-1,ACTRT3,ENSG00000184378
WBGene00000063,act-1,ACTL7A,ENSG00000187003
WBGene00000064,act-2,ACTG1,ENSG00000184009
WBGene00000064,act-2,ACTB,ENSG00000075624
WBGene00000064,act-2,ACTBL2,ENSG00000169067
WBGene00000064,act-2,ACTA2,ENSG00000107796
WBGene00000064,act-2,ACTA1,ENSG00000143632
WBGene00000064,act-2,ACTC1,ENSG00000159251
WBGene00000064,act-2,ACTG2,ENSG00000163017
WBGene00000064,act-2,POTEI,ENSG00000196834
WBGene00000064,act-2,POTED,ENSG00000166351
WBGene00000064,act-2,POTEC,ENSG00000183206
WBGene00000064,act-2,POTEH,ENSG00000198062
WBGene00000064,act-2,POTEM,ENSG00000222036
WBGene00000064,act-2,POTEE,ENSG00000188219
WBGene00000064,act-2,POTEA,ENSG00000188877
WBGene00000064,act-2,POTEF,ENSG00000196604
WBGene00000064,act-2,POTEJ,ENSG00000222038
WBGene00000064,act-2,POTEB2,ENSG00000230031
WBGene00000064,act-2,POTEB,ENSG00000233917
WBGene00000064,act-2,ACTRT1,ENSG00000123165
WBGene00000064,act-2,ACTL7B,ENSG00000148156
WBGene00000064,act-2,ACTRT2,ENSG00000169717
